time,open,high,low,close,Volume,Volume MA
1527717600,86.889,86.889,86.836,86.836,0,0
1527804000,86.173,86.173,86.173,86.173,0,0
1528063200,85.078,85.078,85.078,85.078,0,0
1528149600,84.372,84.372,84.372,84.372,0,0
1528236000,83.5,83.5,83.494,83.494,0,0
1528322400,85.089,85.089,85.089,85.089,0,0
1528408800,85.233,85.233,85.233,85.233,0,0
1528668000,84.912,84.912,84.912,84.912,0,0
1528754400,84.166,84.166,84.166,84.166,0,0
1528840800,85.079,85.079,85.079,85.079,0,0
1528927200,84.018,84.018,84.018,84.018,0,0
1529013600,81.206,81.206,81.206,81.206,0,0
1529272800,82.685,82.685,82.685,82.685,0,0
1529359200,81.695,81.695,81.695,81.695,0,0
1529445600,81.046,81.046,81.046,81.046,0,0
1529532000,80.443,80.443,80.443,80.443,0,0
1529618400,82.463,82.463,82.463,82.463,0,0
1529877600,81.568,81.568,81.568,81.568,0,0
1529964000,82.669,82.669,82.669,82.669,0,0
1530050400,84.461,84.461,84.461,84.461,0,0
1530136800,84.049,84.049,84.049,84.049,0,0
1530223200,85.904,85.904,85.904,85.904,0,0
1530482400,83.675,83.675,83.675,83.675,0,0
1530568800,83.95,83.95,83.95,83.95,0,0
1530741600,84.389,84.389,84.389,84.389,0,0
1530828000,83.934,83.934,83.934,83.934,0,0
1531087200,85.596,85.596,85.596,85.596,0,0
1531173600,86.329,86.329,86.329,86.329,0,0
1531260000,81.997,81.997,81.997,81.997,0,0
1531346400,82.12,82.12,82.12,82.12,0,0
1531432800,83.539,83.539,83.539,83.539,0,0
1531692000,79.476,79.476,79.476,79.476,0,0
1531778400,80.519,80.519,80.519,80.519,0,0
1531864800,81.129,81.129,81.129,81.129,0,0
1531951200,81.167,81.167,81.167,81.167,0,0
1532037600,82.092,82.092,82.092,82.092,0,0
1532296800,82.878,82.878,82.878,82.878,0,0
1532383200,83.408,83.408,83.408,83.408,0,0
1532469600,84.426,84.426,84.426,84.426,0,0
1532556000,85.339,85.339,85.339,85.339,0,0
1532642400,84.47,84.47,84.47,84.47,0,0
1532901600,84.987,84.987,84.987,84.987,0,0
1532988000,83.738,83.738,83.738,83.738,0,0
1533074400,81.654,81.654,81.654,81.654,0,0
1533160800,82.651,82.651,82.651,82.651,0,0
1533247200,82.544,82.544,82.544,82.544,0,0
1533506400,82.848,82.848,82.848,82.848,0,0
1533592800,84.532,84.532,84.532,84.532,0,0
1533679200,81.698,81.698,81.698,81.698,0,0
1533765600,81.405,81.405,81.405,81.405,0,0
1533852000,82.702,82.702,82.702,82.702,0,0
1534111200,82.388,82.388,82.388,82.388,0,0
1534197600,83.641,83.641,83.641,83.641,0,0
1534284000,82.749,82.749,82.749,82.749,0,0
1534370400,82.491,82.491,82.491,82.491,0,0
1534456800,82.212,82.212,82.212,82.212,0,0
1534716000,83.006,83.006,83.006,83.006,0,0
1534802400,82.981,82.981,82.967,82.967,0,0
1534888800,85.12,85.12,85.12,85.12,0,0
1534975200,84.867,84.867,84.867,84.867,0,0
1535061600,85.704,85.704,85.704,85.704,0,0
1535320800,86.182,86.182,86.182,86.182,0,0
1535407200,85.566,85.566,85.566,85.566,0,0
1535493600,86.666,86.666,86.666,86.666,0,0
1535580000,87.561,87.561,87.561,87.561,0,0
1535666400,86.245,86.245,86.245,86.245,0,0
1536012000,86.469,86.469,86.469,86.469,0,0
1536098400,85.461,85.461,85.461,85.461,0,0
1536184800,84.762,84.762,84.762,84.762,0,0
